City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
84,Sur,0,OM,1603739056,61,22.57,59.53,72.07,1.79
85,Bambous Virieux,40,MU,1603738922,73,-20.34,57.76,73.99,9.17
86,Ilulissat,75,GL,1603738762,67,69.22,-51.1,19.4,5.82
87,Bathsheba,40,BB,1603738866,70,13.22,-59.52,87.8,11.41
88,Matara,19,LK,1603738914,89,5.95,80.54,77.68,6.55
89,Acapulco de Juárez,90,MX,1603738964,79,16.86,-99.89,86.0,2.24
90,Qandala,21,SO,1603739057,40,11.47,49.87,77.88,4.56
91,Ganzhou,43,CN,1603739057,70,28.82,115.43,61.16,2.91
92,Colceag,15,RO,1603739057,100,44.95,26.35,53.6,3.36
93,Castro,100,BR,1603738909,69,-24.79,-50.01,73.17,7.72
94,Klaksvík,17,FO,1603738903,80,62.23,-6.59,41.0,5.82
95,Korla,61,CN,1603738875,81,41.76,86.15,42.01,4.0
96,Ambulu,44,ID,1603739058,89,-8.35,113.61,76.32,1.88
97,Kommunisticheskiy,100,RU,1603739058,96,61.68,64.48,24.28,10.74
98,Dashitou,100,CN,1603739058,67,43.31,128.51,43.66,3.58
99,Karratha,55,AU,1603739046,75,-20.74,116.85,69.66,11.77
100,Vao,1,NC,1603738953,83,-22.67,167.48,72.88,15.14
101,Concordia,75,AR,1603739058,64,-31.39,-58.02,73.4,13.87
102,San Rafael,85,AR,1603738816,18,-34.62,-68.33,78.42,22.37
103,Majene,98,ID,1603739059,82,-3.54,118.97,78.31,3.22
104,Wagar,0,SD,1603738954,44,16.15,36.2,85.89,18.39
105,East London,90,ZA,1603738830,93,-33.02,27.91,62.6,8.05
106,Broome,90,US,1603739059,87,42.25,-75.83,57.0,5.82
107,Tiksi,99,RU,1603738902,93,71.69,128.87,6.13,9.19
108,Wajir,82,KE,1603739059,39,1.75,40.06,90.64,17.07
109,Dikson,100,RU,1603738615,95,73.51,80.55,12.06,14.9
110,Guanajuato City,40,MX,1603739059,23,21.02,-101.26,77.0,3.09
111,Hasaki,20,JP,1603738899,87,35.73,140.83,53.6,8.05
112,Tefé,40,BR,1603739060,59,-3.35,-64.71,91.4,5.82
113,Mahon,20,ES,1603739060,81,39.89,4.27,53.6,6.93
114,Oistins,40,BB,1603738938,70,13.07,-59.53,87.8,11.41
115,High Level,90,CA,1603739060,63,58.52,-117.14,26.6,3.96
116,Lubao,90,PH,1603739060,100,14.92,120.55,78.8,2.24
117,Chokurdakh,100,RU,1603738676,96,70.63,147.92,8.01,11.68
118,West Richland,75,US,1603739060,55,46.3,-119.36,39.99,3.36
119,Flinders,100,AU,1603738908,91,-34.58,150.86,55.99,7.0
120,Lingao,5,CN,1603739061,84,19.91,109.69,73.17,3.94
121,Mahébourg,40,MU,1603738903,73,-20.41,57.7,73.4,9.17
